"dgp_id","n","estimator","n_valid","bias","var","mse","coverage_95","mean_se"
"Gauss",100,"ols_single",500,-0.0092134732130571,0.0228019774081349,0.0228868654967827,0.828,0.110706515256239
"Gauss",100,"pmm_single",500,-0.00853081604207029,0.022788004482015,0.0228607793043587,0.812,0.108076294299971
"Gauss",100,"pmm_fma3",500,-0.0132820302106942,0.0182843927204677,0.0184608050469855,0.938,0.132332664275207
"Gauss",100,"pmm_fma5",500,-0.0131901121901827,0.0184193938184492,0.0185933728780389,0.942,0.134860538834834
"Gauss",200,"ols_single",500,-0.00612202455755462,0.0119555552622799,0.0119930344469632,0.82,0.0779611038940848
"Gauss",200,"pmm_single",500,-0.00597580998591685,0.0119873622941851,0.0120230725991729,0.82,0.076994968617708
"Gauss",200,"pmm_fma3",500,-0.00344184091664701,0.00990215675476052,0.00991400302365602,0.936,0.0989889771565504
"Gauss",200,"pmm_fma5",500,-0.00406138070598949,0.00990535303108434,0.00992184784432332,0.938,0.0997660720001018
"Gauss",500,"ols_single",500,0.000604063037512592,0.00520212492992171,0.005202489822075,0.824,0.0492122882468251
"Gauss",500,"pmm_single",500,0.000630639474050287,0.00518656531823906,0.00518696302438529,0.824,0.0489527502755707
"Gauss",500,"pmm_fma3",500,7.36873209326028e-05,0.00433911252767346,0.00433911795749472,0.94,0.0647363015761167
"Gauss",500,"pmm_fma5",500,7.53398109267778e-05,0.004302390373608,0.00430239604969511,0.944,0.0654612595925408
"Gamma3",100,"ols_single",500,0.00359357989845988,0.0500250308495566,0.0500379446660432,0.896,0.1915257059617
"Gamma3",100,"pmm_single",500,0.00472378471176249,0.0481789005488988,0.0482012146909019,0.82,0.154457975811602
"Gamma3",100,"pmm_fma3",500,-0.0133585153539011,0.0397320549958727,0.0399105049283332,0.906,0.17888315526595
"Gamma3",100,"pmm_fma5",500,-0.0147075517939688,0.0392268637282634,0.0394431758080356,0.918,0.188585344463907
"Gamma3",200,"ols_single",500,0.00898693233811398,0.0295945423122984,0.0296753072651482,0.888,0.135643030590895
"Gamma3",200,"pmm_single",500,0.0097952595178592,0.0285605604060624,0.0286565075150846,0.788,0.110026554717385
"Gamma3",200,"pmm_fma3",500,0.00178709525917808,0.0224496445073085,0.0224528382167738,0.942,0.136550371207143
"Gamma3",200,"pmm_fma5",500,-9.70519256782154e-06,0.0224352831784385,0.0224352832726293,0.948,0.141757691559468
"Gamma3",500,"ols_single",500,0.00379426665245752,0.0135668291642126,0.0135812256236425,0.834,0.0853591400416387
"Gamma3",500,"pmm_single",500,0.0063692577539074,0.0131095306492884,0.0131500980936241,0.758,0.0694327315547446
"Gamma3",500,"pmm_fma3",500,0.00317594107459085,0.0103632196429885,0.0103733062446978,0.916,0.0961808301077759
"Gamma3",500,"pmm_fma5",500,0.0028048289592153,0.0102614846737618,0.0102693517392523,0.918,0.0969426219164232
"LogN",100,"ols_single",500,-0.0202079158715716,0.0791829132607085,0.0795912731245811,0.878,0.230629363432637
"LogN",100,"pmm_single",500,-0.00316447478392945,0.0647476440685236,0.0647576579691817,0.676,0.126681816924755
"LogN",100,"pmm_fma3",500,-0.024669541715284,0.056016480242314,0.0566250665307562,0.802,0.153977979292898
"LogN",100,"pmm_fma5",500,-0.0287299423458309,0.0535490918656621,0.0543745014528568,0.846,0.165564357231962
"LogN",200,"ols_single",500,-0.000961054491305458,0.0409156918823554,0.0409166155080906,0.898,0.16705952512055
"LogN",200,"pmm_single",500,0.0062860884335949,0.0359297275848906,0.0359692424926856,0.68,0.09527935469068
"LogN",200,"pmm_fma3",500,-0.00848753703253902,0.0283894425365135,0.0284614808213922,0.842,0.125366042709874
"LogN",200,"pmm_fma5",500,-0.010925964910077,0.0267089363187956,0.0268283130280118,0.884,0.133007100481897
"LogN",500,"ols_single",500,-0.00399412382286135,0.0207187130177494,0.0207346660428617,0.826,0.105056762004175
"LogN",500,"pmm_single",500,9.91208391782905e-05,0.0185237800890014,0.0185237899139421,0.612,0.0637223135085539
"LogN",500,"pmm_fma3",500,-0.00376562057735752,0.0139063040437127,0.0139204839420454,0.878,0.0969145183566827
"LogN",500,"pmm_fma5",500,-0.00497373104496068,0.0137049037723032,0.0137296417728108,0.88,0.0993134841462391
