"dgp_id","n","OLS-FP","MLE-FP","PMM-FP","Huber-FP","GMM-FP","g2_th"
"Beta25",50,"1.000","1.000","1.037","1.053","0.679","0.811"
"Beta25",100,"1.000","1.000","0.887","1.028","0.806","0.811"
"Beta25",200,"1.000","1.000","0.842","1.025","0.832","0.811"
"Beta25",500,"1.000","1.000","0.838","1.031","0.838","0.811"
"Beta25",1000,"1.000","1.000","0.792","1.020","0.792","0.811"
"Exp1",50,"1.000","1.000","7.376","0.789","0.592","0.500"
"Exp1",100,"1.000","1.000","11.935","0.693","0.524","0.500"
"Exp1",200,"1.000","1.000","3.693","0.636","0.503","0.500"
"Exp1",500,"1.000","1.000","0.638","0.630","0.509","0.500"
"Exp1",1000,"1.000","1.000","0.492","0.587","0.492","0.500"
"Gamma3",50,"1.000","1.000","0.880","0.933","0.872","0.666"
"Gamma3",100,"1.000","1.000","0.845","0.932","0.776","0.666"
"Gamma3",200,"1.000","1.000","34.713","0.886","0.726","0.666"
"Gamma3",500,"1.000","1.000","0.803","0.873","0.692","0.666"
"Gamma3",1000,"1.000","1.000","0.677","0.864","0.677","0.666"
"Gauss",50,"1.000","1.000","1.440","1.046","1.029","1.000"
"Gauss",100,"1.000","1.000","1.023","1.043","1.023","1.000"
"Gauss",200,"1.000","1.000","1.008","1.043","1.008","1.000"
"Gauss",500,"1.000","1.000","1.005","1.032","1.005","1.000"
"Gauss",1000,"1.000","1.000","1.004","1.042","1.004","1.000"
"LogN",50,"1.000","1.000","14.499","0.372","0.545","0.661"
"LogN",100,"1.000","1.000","3.086","0.284","0.304","0.661"
"LogN",200,"1.000","1.000","16.666","0.277","0.380","0.661"
"LogN",500,"1.000","1.000","0.376","0.254","0.371","0.661"
"LogN",1000,"1.000","1.000","0.436","0.242","0.436","0.661"
