"dgp_id","n","PMM-FP","Huber-FP","GMM-FP"
"Beta25",50,"1.037 / 582.121 / 90.5","1.053 / 586.018 / 93.8","0.679 / 378.978 / 46.5"
"Beta25",100,"0.887 / 167.856 / 92.3","1.028 / 192.157 / 94.2","0.806 / 152.784 / 45.2"
"Beta25",200,"0.842 / 65.765 / 93.4","1.025 / 78.106 / 94.1","0.832 / 65.149 / 48.7"
"Beta25",500,"0.838 / 26.076 / 92.8","1.031 / 31.102 / 93.6","0.838 / 26.076 / 45.8"
"Beta25",1000,"0.792 / 14.726 / 90.7","1.020 / 17.747 / 90.5","0.792 / 14.726 / 44.6"
"Exp1",50,"7.376 / 151819.642 / 88.8","0.789 / 16219.700 / 91.7","0.592 / 12171.386 / 90.6"
"Exp1",100,"11.935 / 82079.654 / 90.3","0.693 / 4794.571 / 93.4","0.524 / 3641.352 / 92.4"
"Exp1",200,"3.693 / 11268.505 / 91.4","0.636 / 1943.872 / 91.3","0.503 / 1543.261 / 94.0"
"Exp1",500,"0.638 / 700.987 / 92.6","0.630 / 697.406 / 93.3","0.509 / 563.702 / 93.5"
"Exp1",1000,"0.492 / 246.034 / 95.1","0.587 / 291.549 / 95.4","0.492 / 246.034 / 95.6"
"Gamma3",50,"0.880 / 5359.419 / 90.9","0.933 / 5680.339 / 94.0","0.872 / 5311.145 / 86.3"
"Gamma3",100,"0.845 / 772.967 / 93.1","0.932 / 846.996 / 94.4","0.776 / 708.999 / 90.0"
"Gamma3",200,"34.713 / 12590.425 / 93.5","0.886 / 322.629 / 94.6","0.726 / 266.429 / 91.6"
"Gamma3",500,"0.803 / 104.638 / 94.3","0.873 / 113.747 / 94.9","0.692 / 90.482 / 94.3"
"Gamma3",1000,"0.677 / 45.500 / 94.5","0.864 / 58.147 / 95.2","0.677 / 45.500 / 94.3"
"Gauss",50,"1.440 / 31622.712 / 91.1","1.046 / 22982.387 / 94.5","1.029 / 22621.329 / 88.2"
"Gauss",100,"1.023 / 7081.568 / 92.9","1.043 / 7219.402 / 95.0","1.023 / 7081.568 / 90.5"
"Gauss",200,"1.008 / 2776.136 / 94.3","1.043 / 2875.200 / 95.1","1.008 / 2776.136 / 93.0"
"Gauss",500,"1.005 / 1015.162 / 95.0","1.032 / 1043.652 / 96.0","1.005 / 1015.162 / 93.4"
"Gauss",1000,"1.004 / 551.867 / 94.2","1.042 / 570.841 / 94.6","1.004 / 551.867 / 93.3"
"LogN",50,"14.499 / 1481143.336 / 89.4","0.372 / 37998.938 / 90.5","0.545 / 55717.129 / 90.9"
"LogN",100,"3.086 / 108125.797 / 91.4","0.284 / 10046.509 / 91.7","0.304 / 10753.402 / 92.7"
"LogN",200,"16.666 / 207893.203 / 92.7","0.277 / 3459.774 / 94.5","0.380 / 4773.294 / 94.5"
"LogN",500,"0.376 / 1917.487 / 94.1","0.254 / 1302.660 / 94.3","0.371 / 1891.504 / 93.9"
"LogN",1000,"0.436 / 1113.689 / 94.3","0.242 / 622.813 / 94.0","0.436 / 1113.689 / 95.2"
