"dgp_id","n","OLS-FP","MLE-FP","PMM-FP","Huber-FP","GMM-FP"
"Beta25",50,"556.763","556.763","582.121","586.018","378.978"
"Beta25",100,"186.092","186.092","167.856","192.157","152.784"
"Beta25",200,"76.098","76.098","65.765","78.106","65.149"
"Beta25",500,"30.187","30.187","26.076","31.102","26.076"
"Beta25",1000,"17.416","17.416","14.726","17.747","14.726"
"Exp1",50,"20563.758","20563.758","151819.642","16219.700","12171.386"
"Exp1",100,"6892.113","6892.113","82079.654","4794.571","3641.352"
"Exp1",200,"3039.177","3039.177","11268.505","1943.872","1543.261"
"Exp1",500,"1098.921","1098.921","700.987","697.406","563.702"
"Exp1",1000,"491.637","491.637","246.034","291.549","246.034"
"Gamma3",50,"6086.784","6086.784","5359.419","5680.339","5311.145"
"Gamma3",100,"908.824","908.824","772.967","846.996","708.999"
"Gamma3",200,"363.033","363.033","12590.425","322.629","266.429"
"Gamma3",500,"129.814","129.814","104.638","113.747","90.482"
"Gamma3",1000,"67.205","67.205","45.500","58.147","45.500"
"Gauss",50,"21965.967","21965.967","31622.712","22982.387","22621.329"
"Gauss",100,"6924.196","6924.196","7081.568","7219.402","7081.568"
"Gauss",200,"2755.588","2755.588","2776.136","2875.200","2776.136"
"Gauss",500,"1010.182","1010.182","1015.162","1043.652","1015.162"
"Gauss",1000,"549.562","549.562","551.867","570.841","551.867"
"LogN",50,"102215.960","102215.960","1481143.336","37998.938","55717.129"
"LogN",100,"35091.713","35091.713","108125.797","10046.509","10753.402"
"LogN",200,"12474.446","12474.446","207893.203","3459.774","4773.294"
"LogN",500,"5091.835","5091.835","1917.487","1302.660","1891.504"
"LogN",1000,"2543.397","2543.397","1113.689","622.813","1113.689"
